	CDD	Short name
740	cd21985	HMG-box_PMS1
741	cd21986	HMG-box_TFAM_rpt1
742	cd21987	HMG-box_TFAM_rpt2
743	cd21988	HMG-box_HBP1
744	cd21989	HMG-box_HBP2
745	cd21990	HMG-box_CIC-like
746	cd21991	HMG-box_NSD2
747	cd21992	HMG-box_MAEL
748	cd21993	HMG-box_WDHD1
749	cd21994	HMG-box_SSRP1-like
750	cd21995	HMG-box_TOX-like
751	cd21996	HMG-box_TCF7-like
752	cd21997	HMG_KMT2C-like
753	cd21998	HMG-box_UBF1_rpt1-like
754	cd21999	HMG-box_UBF1_rpt2
755	cd22000	HMG-box_UBF1_rpt3
756	cd22001	HMG-box_UBF1_rpt4
757	cd22002	HMG-box_UBF1_rpt5
758	cd22003	HMG-box_UBF1_rpt6-like
759	cd22004	HMG-box_SOX
760	cd22005	HMG-box_AtHMGB1-like
761	cd22006	HMG-box_AtHMGB6-like_rpt1
762	cd22007	HMG-box_AtHMGB6-like_rpt2
763	cd22008	HMG-box_AtHMGB6-like_rpt3
764	cd22009	HMG-box_AtHMGB9-like
765	cd22010	HMG-box_ABF2-like_rpt1
766	cd22011	HMG-box_IXR1-like_rpt1
767	cd22012	HMG-box_ABF2_IXR1-like_rpt2
768	cd22013	HMG-box_AtSSRP1
769	cd22014	HMG-box_CMB1-like
770	cd22015	HMG-box_HMO1-like
771	cd22016	HMG-box_NHP10-like
772	cd22017	HMG-box_HMG20A
773	cd22018	HMG-box_HMG20B
774	cd22026	HMG-box_KMT2C
775	cd22027	HMG-box_KMT2D
776	cd22028	HMG-box_SoxA_SoxB_SoxG
777	cd22029	HMG-box_SoxC
778	cd22030	HMG-box_SoxD
779	cd22031	HMG-box_SoxE
780	cd22032	HMG-box_SoxF
781	cd22033	HMG-box_SoxH_SOX30
782	cd22034	HMG-box_SoxA_SRY
783	cd22035	HMG-box_SoxG_SOX15
784	cd22036	HMG-box_SoxC_SOX4
785	cd22037	HMG-box_SoxC_SOX11
786	cd22038	HMG-box_SoxC_SOX12
787	cd22042	HMG-box_EGL13-like
788	cd22046	HMG-box_SoxF_SOX7
789	cd22047	HMG-box_SoxF_SOX17
790	cd22048	HMG-box_SoxF_SOX18
791	cd22231	RHH_NikR_HicB-like
792	cd22232	RHH_CopG_Cop6-like
793	cd22233	RHH_CopAso-like
794	cd22234	RHH_MobB-like
795	cd22235	RHH_CopG_archaea
796	cd22309	AgeI-like
797	cd22310	BcnI-like
798	cd22311	BglI-like
799	cd22312	BglII-like
800	cd22313	BsaWI-like
801	cd22315	BsoBI-like
802	cd22317	BstYI-like
803	cd22318	DNA2_N-like
804	cd22319	DpnI-like
805	cd22320	Ecl18kI-like
806	cd22321	EcoO109I-like
807	cd22322	EcoRII-like
808	cd22323	EcoRV-like
809	cd22326	FAN1-like
810	cd22329	HincII-like
811	cd22330	HindIII-like
812	cd22331	HinP1I-like
813	cd22334	MspI-like
814	cd22336	MunI-like
815	cd22337	MvaI-like
816	cd22338	NaeI-like
817	cd22340	NgoMIV-like
818	cd22341	NucS-like
819	cd22350	PspGI-like
820	cd22353	RecC_C-like
821	cd22354	RecU-like
822	cd22355	Sau3AI_C
823	cd22358	SfsA-like_archaeal
824	cd22360	SgrAI-like
825	cd22361	ThaI-like
826	cd22398	KH-I_FUBP_rpt3
827	cd22399	KH-I_FUBP_rpt4
828	cd22434	KH-I_HNRNPK_rpt3
829	cd22438	KH-I_PCBP_rpt1
830	cd22439	KH-I_PCBP_rpt3
831	cd22484	KH-I_FUBP1_rpt3
832	cd22487	KH-I_FUBP1_rpt4
833	cd22488	KH-I_FUBP2_rpt4
834	cd22489	KH-I_FUBP3_rpt4
835	cd22515	KH-I_PCBP1_2_rpt1
836	cd22516	KH-I_PCBP3_rpt1
837	cd22517	KH-I_PCBP4_rpt1
838	cd22518	KH-I_PCBP1_2_rpt2
839	cd22519	KH-I_PCBP3_rpt2
840	cd22520	KH-I_PCBP4_rpt2
841	cd22521	KH-I_PCBP1_2_rpt3
842	cd22522	KH-I_PCBP3_rpt3
843	cd22523	KH-I_PCBP4_rpt3
844	cd22661	Cas12i
845	cd23511	I-PpoI
846	cd23517	Cas12i1
847	cd23518	Cas12i2
